id,date_intervention,rapport,ordre_travail_id,created_at,technicien_id,statut,date_debut,date_fin,updated_at,problem_description,priority,estimated_duration_minutes,required_materials,machine_id,requested_at,approved_by,approved_at,rejection_reason,actual_failure_type,ml_prediction_matched,retrained,machine_category,symptoms,problem_start_time,frequency,operating_state,load_level,temperature,impact,estimated_loss,similar_issue_before,suggested_cause,suggested_priority,risk_score,intervention_type,root_cause_category,root_cause_description,actions_performed,parts_replaced,tools_used,machine_status_after,plan_hypothesis,check_resolved,check_verification_method,act_preventive_actions,act_recommendations
1015,2024-08-28 05:46:55+00,Surchauffe détectée due à l'encrassement du système de refroidissement. Nettoyage complet et remplacement des composants défaillants. RPM ventilateur remonté de 1367 à 1520 RPM. Validation thermique OK.,1015,2024-08-27 11:46:55+00,18,VALIDATED,2024-08-28 05:46:55+00,2024-08-29 01:46:55+00,2024-08-29 01:46:55+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=4.7K sur Chaudière Process / Process Boiler. RPM ventilateur: 1367.,HAUTE,333,"Échangeur thermique à plaques, joints viton, boulonnerie inox",6114,2024-08-26 17:46:55+00,16,2024-08-27 02:46:55+00,"""""",HDF,0,0,THERMIQUE,"Alarme surchauffe activée, température process anormalement élevée par rapport à l'ambiante",2024-08-26 09:46:55+00,PREMIERE_FOIS,EN_PRODUCTION,74,306K - Surchauffe,RISQUE_SECURITE,5828€,1,Défaillance du système de dissipation thermique,HAUTE,98,CORRECTIVE,DEFAILLANCE_THERMIQUE,Filtre à air colmaté empêchant la circulation d'air adéquate,Installation de ventilateurs additionnels dans les zones mortes identifiées,"Compresseur scroll R410A, détendeur, pressostat haute pression","Pompe à vide, manomètre frigorifique, détecteur de fuites",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,TEST_EN_CHARGE,Ajouter points de contrôle thermique dans la checklist de maintenance préventive.,Installer des ventilateurs de secours en redondance. Mettre à jour le programme de maintenance préventive.
1016,2025-02-17 19:34:07+00,Dissipation thermique insuffisante causée par la dégradation de la pâte thermique. Nettoyage des surfaces de contact et application de nouvelle pâte. Tests de charge thermique satisfaisants.,1016,2025-02-17 08:34:07+00,11,VALIDATED,2025-02-17 19:34:07+00,2025-02-18 05:34:07+00,2025-02-18 05:34:07+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=3.6K sur Four de Refusion / Reflow Oven. RPM ventilateur: 1284.,CRITIQUE,469,"Compresseur scroll R410A, détendeur, pressostat haute pression",6115,2025-02-17 05:34:07+00,16,2025-02-17 12:34:07+00,"""""",HDF,1,0,THERMIQUE,"Alarme surchauffe activée, température process anormalement élevée par rapport à l'ambiante",2025-02-16 01:34:07+00,PREMIERE_FOIS,EN_CHARGE,88,306K - Surchauffe,ARRET_PRODUCTION,6200€,1,Défaillance du système de dissipation thermique,CRITIQUE,99,CORRECTIVE,DEFAILLANCE_THERMIQUE,Perte de liquide de refroidissement due à une micro-fuite dans le circuit,Nettoyage haute pression de l'échangeur thermique et remplacement des joints,"Joint torique circuit refroidissement, liquide caloporteur 5L, raccord rapide","Caméra thermique FLIR, anémomètre, multimètre",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,TEST_THERMIQUE,Programmer remplacement préventif des ventilateurs tous les 6 mois.,Installer des ventilateurs de secours en redondance. Mettre à jour le programme de maintenance préventive.
1017,2024-06-26 13:47:34+00,Surchauffe détectée due à l'encrassement du système de refroidissement. Nettoyage complet et remplacement des composants défaillants. RPM ventilateur remonté de 1117 à 1520 RPM. Validation thermique OK.,1017,2024-06-25 15:47:34+00,2,VALIDATED,2024-06-26 13:47:34+00,2024-06-26 21:47:34+00,2024-06-26 21:47:34+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=5K sur Chambre Thermique / Thermal Chamber. RPM ventilateur: 1117.,CRITIQUE,95,"Pâte thermique Arctic MX-6, nettoyant isopropylique, applicateur",6116,2024-06-25 00:47:34+00,13,2024-06-25 05:47:34+00,"""""",HDF,1,0,THERMIQUE,"Alarme surchauffe activée, température process anormalement élevée par rapport à l'ambiante",2024-06-24 07:47:34+00,PREMIERE_FOIS,EN_PRODUCTION,85,307K - Surchauffe,PERTE_RENDEMENT,3491€,0,Défaillance du système de dissipation thermique,CRITIQUE,75,CORRECTIVE,DEFAILLANCE_THERMIQUE,Filtre à air colmaté empêchant la circulation d'air adéquate,Nettoyage haute pression de l'échangeur thermique et remplacement des joints,"Dissipateur cuivre ailettes, vis de fixation thermique, pad thermique","Pompe à vide, manomètre frigorifique, détecteur de fuites",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,MESURE_DELTA_T,Mettre en place surveillance continue du delta thermique avec alertes automatiques.,Envisager un upgrade du système de refroidissement pour les machines critiques.
1018,2024-06-08 23:37:19+00,Surchauffe détectée due à l'encrassement du système de refroidissement. Nettoyage complet et remplacement des composants défaillants. RPM ventilateur remonté de 1340 à 1520 RPM. Validation thermique OK.,1018,2024-06-08 10:37:19+00,17,VALIDATED,2024-06-08 23:37:19+00,2024-06-09 13:37:19+00,2024-06-09 13:37:19+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=3.3K sur Échangeur Thermique / Heat Exchanger. RPM ventilateur: 1340.,CRITIQUE,416,"Filtre HEPA H13, cadre de montage, joint d'étanchéité",6117,2024-06-08 01:37:19+00,16,2024-06-08 08:37:19+00,"""""",HDF,1,0,THERMIQUE,"Liquide de refroidissement en fuite, niveau bas détecté",2024-06-07 01:37:19+00,INTERMITTENT,AU_DEMARRAGE,66,314K - Surchauffe,RISQUE_SECURITE,2297€,0,Défaillance du système de dissipation thermique,CRITIQUE,83,CORRECTIVE,DEFAILLANCE_THERMIQUE,Encrassement de l'échangeur thermique réduisant l'efficacité de dissipation,Remplacement du compresseur et recharge en fluide frigorigène,"Compresseur scroll R410A, détendeur, pressostat haute pression","Oscilloscope, sonde de température PT100, enregistreur de données",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,CONTROLE_DEBIT_AIR,Ajouter points de contrôle thermique dans la checklist de maintenance préventive.,Implémenter un monitoring IoT en temps réel des paramètres thermiques.
1019,2024-09-23 02:30:10+00,"Intervention corrective HDF réalisée. Cause identifiée: perte d'efficacité du circuit caloporteur. Réparation de la fuite, purge et remplissage. Delta thermique revenu à 11.4K après remise en service.",1019,2024-09-22 21:30:10+00,4,VALIDATED,2024-09-23 02:30:10+00,2024-09-23 08:30:10+00,2024-09-23 08:30:10+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=6.9K sur Séchoir Industriel / Industrial Dryer. RPM ventilateur: 1183.,HAUTE,410,"Compresseur scroll R410A, détendeur, pressostat haute pression",6118,2024-09-22 09:30:10+00,7,2024-09-22 14:30:10+00,"""""",HDF,1,0,THERMIQUE,"Vibrations excessives du ventilateur, roulements usés",2024-09-20 15:30:10+00,INTERMITTENT,EN_CHARGE,64,313K - Surchauffe,ARRET_PRODUCTION,4371€,1,Défaillance du système de dissipation thermique,HAUTE,99,CORRECTIVE,DEFAILLANCE_THERMIQUE,Perte de liquide de refroidissement due à une micro-fuite dans le circuit,Application de nouvelle pâte thermique sur tous les composants de puissance,"Compresseur scroll R410A, détendeur, pressostat haute pression","Caméra thermique FLIR, anémomètre, multimètre",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,TEST_THERMIQUE,Ajouter points de contrôle thermique dans la checklist de maintenance préventive.,Implémenter un monitoring IoT en temps réel des paramètres thermiques.
1020,2024-12-11 08:32:04+00,Dissipation thermique insuffisante causée par la dégradation de la pâte thermique. Nettoyage des surfaces de contact et application de nouvelle pâte. Tests de charge thermique satisfaisants.,1020,2024-12-09 13:32:04+00,20,VALIDATED,2024-12-11 08:32:04+00,2024-12-11 21:32:04+00,2024-12-11 21:32:04+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=4.2K sur Ventilateur Extraction / Exhaust Fan. RPM ventilateur: 1312.,HAUTE,362,"Filtre HEPA H13, cadre de montage, joint d'étanchéité",6119,2024-12-09 09:32:04+00,14,2024-12-09 19:32:04+00,"""""",HDF,1,0,THERMIQUE,"Odeur de surchauffe détectée, fumée légère au niveau du dissipateur",2024-12-08 12:32:04+00,RECURRENT,EN_PRODUCTION,89,313K - Surchauffe,RISQUE_SECURITE,7485€,1,Défaillance du système de dissipation thermique,HAUTE,92,CORRECTIVE,DEFAILLANCE_THERMIQUE,"Défaut de conception du circuit de ventilation, zones mortes thermiques",Remplacement du dissipateur thermique et vérification de la conductivité thermique,"Ventilateur centrifuge 80mm x2, grille de protection, câblage","Oscilloscope, sonde de température PT100, enregistreur de données",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,TEST_THERMIQUE,Ajouter points de contrôle thermique dans la checklist de maintenance préventive.,Installer des ventilateurs de secours en redondance. Mettre à jour le programme de maintenance préventive.
1021,2024-12-17 08:29:34+00,Dissipation thermique insuffisante causée par la dégradation de la pâte thermique. Nettoyage des surfaces de contact et application de nouvelle pâte. Tests de charge thermique satisfaisants.,1021,2024-12-16 18:29:34+00,12,VALIDATED,2024-12-17 08:29:34+00,2024-12-17 14:29:34+00,2024-12-17 14:29:34+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=4.5K sur Compresseur de Refroidissement. RPM ventilateur: 1309.,HAUTE,118,"Échangeur thermique à plaques, joints viton, boulonnerie inox",6120,2024-12-16 17:29:34+00,6,2024-12-16 21:29:34+00,"""""",HDF,1,0,THERMIQUE,"Vibrations excessives du ventilateur, roulements usés",2024-12-15 19:29:34+00,INTERMITTENT,AU_DEMARRAGE,95,311K - Surchauffe,PERTE_RENDEMENT,2773€,0,Défaillance du système de dissipation thermique,HAUTE,75,CORRECTIVE,DEFAILLANCE_THERMIQUE,Encrassement de l'échangeur thermique réduisant l'efficacité de dissipation,Remplacement du compresseur et recharge en fluide frigorigène,"Ventilateur centrifuge 80mm x2, grille de protection, câblage","Caméra thermique FLIR, anémomètre, multimètre",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,CONTROLE_DEBIT_AIR,Ajouter points de contrôle thermique dans la checklist de maintenance préventive.,Installer des ventilateurs de secours en redondance. Mettre à jour le programme de maintenance préventive.
1022,2025-03-07 21:35:21+00,"Défaut HDF résolu. Filtres à air colmatés remplacés, conduits d'aération nettoyés. Débit d'air mesuré conforme aux spécifications. Machine validée pour remise en production.",1022,2025-03-07 03:35:21+00,11,VALIDATED,2025-03-07 21:35:21+00,2025-03-08 11:35:21+00,2025-03-08 11:35:21+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=5.8K sur Unité Climatisation / HVAC Unit. RPM ventilateur: 1247.,CRITIQUE,359,"Dissipateur cuivre ailettes, vis de fixation thermique, pad thermique",6121,2025-03-06 07:35:21+00,8,2025-03-06 16:35:21+00,"""""",HDF,1,0,THERMIQUE,"Vibrations excessives du ventilateur, roulements usés",2025-03-05 02:35:21+00,RECURRENT,EN_PRODUCTION,76,309K - Surchauffe,PERTE_RENDEMENT,11047€,0,Défaillance du système de dissipation thermique,CRITIQUE,88,CORRECTIVE,DEFAILLANCE_THERMIQUE,"Panne du compresseur de refroidissement, fluide frigorigène insuffisant",Remplacement du ventilateur principal et nettoyage complet des conduits d'aération,"Filtre HEPA H13, cadre de montage, joint d'étanchéité","Caméra thermique FLIR, anémomètre, multimètre",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,TEST_THERMIQUE,Programmer remplacement préventif des ventilateurs tous les 6 mois.,Augmenter la fréquence de nettoyage des filtres. Former les opérateurs à la détection précoce des signes de surchauffe.
1023,2024-09-22 18:34:06+00,"Défaut HDF résolu. Filtres à air colmatés remplacés, conduits d'aération nettoyés. Débit d'air mesuré conforme aux spécifications. Machine validée pour remise en production.",1023,2024-09-20 20:34:06+00,1,VALIDATED,2024-09-22 18:34:06+00,2024-09-23 06:34:06+00,2024-09-23 06:34:06+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=3K sur Station Brasage Vague / Wave Solder. RPM ventilateur: 1122.,CRITIQUE,188,"Joint torique circuit refroidissement, liquide caloporteur 5L, raccord rapide",6122,2024-09-20 07:34:06+00,5,2024-09-20 16:34:06+00,"""""",HDF,1,0,THERMIQUE,"Composants déformés par chaleur excessive, traces de brûlure sur PCB",2024-09-18 18:34:06+00,RECURRENT,EN_PRODUCTION,78,308K - Surchauffe,RISQUE_SECURITE,10956€,0,Défaillance du système de dissipation thermique,CRITIQUE,92,CORRECTIVE,DEFAILLANCE_THERMIQUE,"Défaillance des roulements du ventilateur principal, vitesse de rotation dégradée",Nettoyage haute pression de l'échangeur thermique et remplacement des joints,"Joint torique circuit refroidissement, liquide caloporteur 5L, raccord rapide","Nettoyeur haute pression, compresseur d'air, aspirateur industriel",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,TEST_THERMIQUE,Planifier nettoyage trimestriel des conduits. Installer capteurs de débit d'air.,Augmenter la fréquence de nettoyage des filtres. Former les opérateurs à la détection précoce des signes de surchauffe.
1024,2025-02-01 09:17:01+00,Dissipation thermique insuffisante causée par la dégradation de la pâte thermique. Nettoyage des surfaces de contact et application de nouvelle pâte. Tests de charge thermique satisfaisants.,1024,2025-01-30 19:17:01+00,1,VALIDATED,2025-02-01 09:17:01+00,2025-02-01 19:17:01+00,2025-02-01 19:17:01+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=5.5K sur Four de Cuisson / Curing Oven. RPM ventilateur: 1235.,CRITIQUE,105,"Pâte thermique Arctic MX-6, nettoyant isopropylique, applicateur",6123,2025-01-30 11:17:01+00,16,2025-01-30 19:17:01+00,"""""",HDF,1,0,THERMIQUE,"Vibrations excessives du ventilateur, roulements usés",2025-01-30 04:17:01+00,PREMIERE_FOIS,EN_PRODUCTION,80,306K - Surchauffe,DEGRADATION_QUALITE,2132€,1,Défaillance du système de dissipation thermique,CRITIQUE,87,CORRECTIVE,DEFAILLANCE_THERMIQUE,Obstruction des conduits d'air par accumulation de poussière et résidus de production,Nettoyage haute pression de l'échangeur thermique et remplacement des joints,"Pâte thermique Arctic MX-6, nettoyant isopropylique, applicateur","Nettoyeur haute pression, compresseur d'air, aspirateur industriel",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,MESURE_DELTA_T,Programmer remplacement préventif des ventilateurs tous les 6 mois.,Implémenter un monitoring IoT en temps réel des paramètres thermiques.
1025,2024-12-28 09:33:08+00,Compresseur de refroidissement défaillant remplacé. Recharge en fluide frigorigène effectuée. Contrôle des pressions et températures conformes. Écart thermique stabilisé à 12.1K.,1025,2024-12-27 13:33:08+00,3,VALIDATED,2024-12-28 09:33:08+00,2024-12-29 08:33:08+00,2024-12-29 08:33:08+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=4.1K sur Radiateur Process / Process Heater. RPM ventilateur: 1305.,CRITIQUE,85,"Échangeur thermique à plaques, joints viton, boulonnerie inox",6124,2024-12-26 22:33:08+00,13,2024-12-27 02:33:08+00,"""""",HDF,1,1,THERMIQUE,"Capteur thermique en alerte continue, gradient thermique insuffisant",2024-12-25 16:33:08+00,RECURRENT,EN_CHARGE,80,311K - Surchauffe,RISQUE_SECURITE,3076€,1,Défaillance du système de dissipation thermique,CRITIQUE,96,CORRECTIVE,DEFAILLANCE_THERMIQUE,Encrassement de l'échangeur thermique réduisant l'efficacité de dissipation,Remplacement du compresseur et recharge en fluide frigorigène,"Ventilateur centrifuge 80mm x2, grille de protection, câblage","Caméra thermique FLIR, anémomètre, multimètre",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,CONTROLE_DEBIT_AIR,Planifier nettoyage trimestriel des conduits. Installer capteurs de débit d'air.,Envisager un upgrade du système de refroidissement pour les machines critiques.
1026,2024-12-20 13:12:16+00,"Défaillance de dissipation thermique confirmée. Le delta T°process - T°air était de 8.1K (seuil: 8.6K). Ventilateur principal en sous-régime à 1238 RPM. Remplacement effectué, tests post-intervention conformes. Écart thermique rétabli à 10.2K.",1026,2024-12-20 03:12:16+00,11,VALIDATED,2024-12-20 13:12:16+00,2024-12-21 05:12:16+00,2024-12-21 05:12:16+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=8.1K sur Pompe à Chaleur / Heat Pump. RPM ventilateur: 1238.,CRITIQUE,151,"Dissipateur cuivre ailettes, vis de fixation thermique, pad thermique",6125,2024-12-19 23:12:16+00,13,2024-12-20 06:12:16+00,"""""",HDF,1,0,THERMIQUE,"Liquide de refroidissement en fuite, niveau bas détecté",2024-12-19 05:12:16+00,INTERMITTENT,EN_CHARGE,60,309K - Surchauffe,ARRET_PRODUCTION,10035€,0,Défaillance du système de dissipation thermique,CRITIQUE,92,CORRECTIVE,DEFAILLANCE_THERMIQUE,Encrassement de l'échangeur thermique réduisant l'efficacité de dissipation,Nettoyage haute pression de l'échangeur thermique et remplacement des joints,"Dissipateur cuivre ailettes, vis de fixation thermique, pad thermique","Caméra thermique FLIR, anémomètre, multimètre",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,TEST_EN_CHARGE,Ajouter points de contrôle thermique dans la checklist de maintenance préventive.,Implémenter un monitoring IoT en temps réel des paramètres thermiques.
1027,2025-03-08 16:06:01+00,"Défaillance de dissipation thermique confirmée. Le delta T°process - T°air était de 6.9K (seuil: 8.6K). Ventilateur principal en sous-régime à 1345 RPM. Remplacement effectué, tests post-intervention conformes. Écart thermique rétabli à 10.2K.",1027,2025-03-06 22:06:01+00,20,VALIDATED,2025-03-08 16:06:01+00,2025-03-08 21:06:01+00,2025-03-08 21:06:01+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=6.9K sur Tour de Refroidissement / Cooling Tower. RPM ventilateur: 1345.,HAUTE,280,"Pâte thermique Arctic MX-6, nettoyant isopropylique, applicateur",6126,2025-03-06 00:06:01+00,6,2025-03-06 03:06:01+00,"""""",HDF,1,1,THERMIQUE,"Alarme surchauffe activée, température process anormalement élevée par rapport à l'ambiante",2025-03-05 15:06:01+00,INTERMITTENT,EN_CHARGE,64,307K - Surchauffe,PERTE_RENDEMENT,9357€,1,Défaillance du système de dissipation thermique,HAUTE,89,CORRECTIVE,DEFAILLANCE_THERMIQUE,"Défaut de conception du circuit de ventilation, zones mortes thermiques",Remplacement des filtres à air et calibration du système de ventilation,"Échangeur thermique à plaques, joints viton, boulonnerie inox","Caméra thermique FLIR, anémomètre, multimètre",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,MESURE_DELTA_T,Mettre en place surveillance continue du delta thermique avec alertes automatiques.,Implémenter un monitoring IoT en temps réel des paramètres thermiques.
1028,2024-07-30 12:07:44+00,Surchauffe détectée due à l'encrassement du système de refroidissement. Nettoyage complet et remplacement des composants défaillants. RPM ventilateur remonté de 1239 à 1520 RPM. Validation thermique OK.,1028,2024-07-28 19:07:44+00,11,VALIDATED,2024-07-30 12:07:44+00,2024-07-30 21:07:44+00,2024-07-30 21:07:44+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=3.3K sur Condenseur / Condenser. RPM ventilateur: 1239.,HAUTE,163,"Joint torique circuit refroidissement, liquide caloporteur 5L, raccord rapide",6127,2024-07-27 22:07:44+00,6,2024-07-28 06:07:44+00,"""""",HDF,1,0,THERMIQUE,"Composants déformés par chaleur excessive, traces de brûlure sur PCB",2024-07-27 14:07:44+00,INTERMITTENT,EN_PRODUCTION,61,312K - Surchauffe,RISQUE_SECURITE,7011€,0,Défaillance du système de dissipation thermique,HAUTE,73,CORRECTIVE,DEFAILLANCE_THERMIQUE,"Panne du compresseur de refroidissement, fluide frigorigène insuffisant",Remplacement du dissipateur thermique et vérification de la conductivité thermique,"Filtre HEPA H13, cadre de montage, joint d'étanchéité","Nettoyeur haute pression, compresseur d'air, aspirateur industriel",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,CONTROLE_DEBIT_AIR,Mettre en place surveillance continue du delta thermique avec alertes automatiques.,Implémenter un monitoring IoT en temps réel des paramètres thermiques.
1029,2025-03-29 15:07:35+00,"Défaillance de dissipation thermique confirmée. Le delta T°process - T°air était de 5.3K (seuil: 8.6K). Ventilateur principal en sous-régime à 1346 RPM. Remplacement effectué, tests post-intervention conformes. Écart thermique rétabli à 10.2K.",1029,2025-03-28 21:07:35+00,19,VALIDATED,2025-03-29 15:07:35+00,2025-03-30 04:07:35+00,2025-03-30 04:07:35+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=5.3K sur Évaporateur / Evaporator. RPM ventilateur: 1346.,HAUTE,294,"Joint torique circuit refroidissement, liquide caloporteur 5L, raccord rapide",6128,2025-03-28 14:07:35+00,15,2025-03-28 17:07:35+00,"""""",HDF,1,1,THERMIQUE,"Arrêt automatique thermique déclenché, ventilateur tournant en sous-régime",2025-03-27 18:07:35+00,INTERMITTENT,EN_PRODUCTION,92,306K - Surchauffe,DEGRADATION_QUALITE,10213€,0,Défaillance du système de dissipation thermique,HAUTE,88,CORRECTIVE,DEFAILLANCE_THERMIQUE,Perte de liquide de refroidissement due à une micro-fuite dans le circuit,Nettoyage haute pression de l'échangeur thermique et remplacement des joints,"Joint torique circuit refroidissement, liquide caloporteur 5L, raccord rapide","Oscilloscope, sonde de température PT100, enregistreur de données",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,TEST_EN_CHARGE,Programmer remplacement préventif des ventilateurs tous les 6 mois.,Installer des ventilateurs de secours en redondance. Mettre à jour le programme de maintenance préventive.
1030,2025-02-24 15:48:29+00,"Intervention corrective HDF réalisée. Cause identifiée: perte d'efficacité du circuit caloporteur. Réparation de la fuite, purge et remplissage. Delta thermique revenu à 11.4K après remise en service.",1030,2025-02-22 16:48:29+00,20,VALIDATED,2025-02-24 15:48:29+00,2025-02-24 21:48:29+00,2025-02-24 21:48:29+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=6.7K sur Chaudière Process / Process Boiler. RPM ventilateur: 1166.,CRITIQUE,284,"Compresseur scroll R410A, détendeur, pressostat haute pression",6129,2025-02-21 17:48:29+00,14,2025-02-21 19:48:29+00,"""""",HDF,1,0,THERMIQUE,"Vibrations excessives du ventilateur, roulements usés",2025-02-20 06:48:29+00,INTERMITTENT,AU_DEMARRAGE,63,311K - Surchauffe,RISQUE_SECURITE,5758€,1,Défaillance du système de dissipation thermique,CRITIQUE,99,CORRECTIVE,DEFAILLANCE_THERMIQUE,"Défaillance des roulements du ventilateur principal, vitesse de rotation dégradée",Remplacement du dissipateur thermique et vérification de la conductivité thermique,"Ventilateur axial 120mm, roulements à billes, courroie de transmission","Oscilloscope, sonde de température PT100, enregistreur de données",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,TEST_EN_CHARGE,Planifier nettoyage trimestriel des conduits. Installer capteurs de débit d'air.,Installer des ventilateurs de secours en redondance. Mettre à jour le programme de maintenance préventive.
1031,2024-06-16 07:25:02+00,Dissipation thermique insuffisante causée par la dégradation de la pâte thermique. Nettoyage des surfaces de contact et application de nouvelle pâte. Tests de charge thermique satisfaisants.,1031,2024-06-14 14:25:02+00,9,VALIDATED,2024-06-16 07:25:02+00,2024-06-16 23:25:02+00,2024-06-16 23:25:02+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=7.3K sur Four de Refusion / Reflow Oven. RPM ventilateur: 1286.,HAUTE,440,"Filtre HEPA H13, cadre de montage, joint d'étanchéité",6130,2024-06-14 12:25:02+00,5,2024-06-14 23:25:02+00,"""""",HDF,1,0,THERMIQUE,"Arrêt automatique thermique déclenché, ventilateur tournant en sous-régime",2024-06-13 20:25:02+00,INTERMITTENT,EN_PRODUCTION,81,306K - Surchauffe,RISQUE_SECURITE,6389€,0,Défaillance du système de dissipation thermique,HAUTE,88,CORRECTIVE,DEFAILLANCE_THERMIQUE,"Panne du compresseur de refroidissement, fluide frigorigène insuffisant","Vidange et remplissage du circuit de refroidissement, réparation de la fuite identifiée","Dissipateur cuivre ailettes, vis de fixation thermique, pad thermique","Clé dynamométrique, extracteur de roulements, niveau laser",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,MESURE_DELTA_T,Mettre en place surveillance continue du delta thermique avec alertes automatiques.,Installer des ventilateurs de secours en redondance. Mettre à jour le programme de maintenance préventive.
1032,2024-08-12 12:35:56+00,"Défaut HDF résolu. Filtres à air colmatés remplacés, conduits d'aération nettoyés. Débit d'air mesuré conforme aux spécifications. Machine validée pour remise en production.",1032,2024-08-11 20:35:56+00,17,VALIDATED,2024-08-12 12:35:56+00,2024-08-13 12:35:56+00,2024-08-13 12:35:56+00,Surchauffe détectée - dissipation thermique insuffisante. Delta T=8K sur Chambre Thermique / Thermal Chamber. RPM ventilateur: 1183.,HAUTE,371,"Ventilateur centrifuge 80mm x2, grille de protection, câblage",6131,2024-08-11 00:35:56+00,8,2024-08-11 05:35:56+00,"""""",HDF,1,1,THERMIQUE,"Alarme surchauffe activée, température process anormalement élevée par rapport à l'ambiante",2024-08-09 04:35:56+00,RECURRENT,EN_PRODUCTION,71,313K - Surchauffe,PERTE_RENDEMENT,5291€,1,Défaillance du système de dissipation thermique,HAUTE,80,CORRECTIVE,DEFAILLANCE_THERMIQUE,Obstruction des conduits d'air par accumulation de poussière et résidus de production,"Vidange et remplissage du circuit de refroidissement, réparation de la fuite identifiée","Ventilateur axial 120mm, roulements à billes, courroie de transmission","Caméra thermique FLIR, anémomètre, multimètre",OPERATIONNELLE,"Vérifier le système de refroidissement, contrôler le débit d'air et la vitesse de rotation des ventilateurs",1,MESURE_DELTA_T,Ajouter points de contrôle thermique dans la checklist de maintenance préventive.,Installer des ventilateurs de secours en redondance. Mettre à jour le programme de maintenance préventive.
