id,nom,emplacement,statut,type,date_derniere_maintenance,date_prochaine_maintenance,image_url,created_at,air_temperature,process_temperature,rotational_speed,torque,tool_wear,zone,sous_zone,ordre
118,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_SYSTEME_DE_STOCKAGE_COMPOSANTS_001,"Bâtiment A, Hall CMS1, Ligne 3, Poste 06",EN MAINTENANCE,Stockage Composants,2025-12-18 17:14:32+00,2026-05-05 12:10:12+00,https://www.ersa.com/fileadmin/ersa/images/products/reflow-soldering/HOTFLOW-3-20.png,2024-10-10 19:28:18+00,295.76,309.6,1552,44.82,40,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",19
119,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_IMPRIMANTE_JET_ENCRE_PCB_001,"Bâtiment B, Hall CMS1, Ligne 2, Poste 05",EN PANNE,Imprimante Jet d'Encre PCB,2025-10-22 07:39:57+00,2026-06-29 00:38:46+00,https://www.yamaha-motor-im.com/wp-content/uploads/YSM20R.jpg,2024-11-26 13:43:50+00,299.35,306.95,1597,43.04,27,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",20
120,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_D_PILEUR_CARD_LOADER_002,"Bâtiment A, Hall CMS1, Ligne 1, Poste 34",EN PANNE,Dépileur / Card Loader,2025-11-12 12:16:14+00,2026-06-24 00:37:29+00,https://www.nutek.com/images/products/pcb-conveyor.jpg,2024-03-30 06:07:23+00,295.06,305.75,1489,36.99,3,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",21
121,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_S_RIGRAPHIE_DEK_MPM_002,"Bâtiment A, Hall CMS1, Ligne 3, Poste 23",EN MAINTENANCE,Sérigraphie DEK MPM,2025-12-10 19:21:13+00,2026-05-28 09:25:56+00,https://www.chroma.com.tw/images/products/19032-hipot-tester.jpg,2025-12-14 10:49:59+00,297.19,305.76,1442,43.04,19,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",22
122,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_POSE_PICK_PLACE_002,"Bâtiment B, Hall CMS1, Ligne 1, Poste 46",EN PANNE,Pick & Place,2025-11-16 14:56:38+00,2026-06-26 20:16:17+00,https://www.panasonic-id.com/products/smt/npm-dx/images/npm-dx-main.jpg,2024-09-10 19:50:50+00,295.95,307.9,1473,35.39,6,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",23
123,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_FOUR_DE_REFUSION_REFLOW_OVEN_002,"Bâtiment B, Hall CMS1, Ligne 1, Poste 16",ARRÊTÉE,Four de Refusion (Reflow Oven),2026-02-01 17:01:43+00,2026-09-24 02:22:12+00,https://www.juki.com/smt/products/rs-1r/images/rs-1r-main.png,2024-04-30 11:07:31+00,295.19,305.35,1483,35.34,0,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",24
124,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_INSPECTION_AOI_AUTOMATIQUE_002,"Bâtiment A, Hall CMS1, Ligne 1, Poste 19",OPERATIONNELLE,Inspection AOI,2026-02-05 13:12:26+00,2026-08-04 04:03:47+00,https://www.yamaha-motor-im.com/wp-content/uploads/YSM20R.jpg,2025-04-22 07:09:48+00,299.83,309.09,1440,41.59,28,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",25
125,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_BRASAGE_WAVE_SOLDERING_002,"Bâtiment B, Hall CMS1, Ligne 1, Poste 29",EN MAINTENANCE,Brasage (Wave Soldering),2026-02-05 23:29:10+00,2026-09-05 09:56:37+00,https://www.heller-industries.com/images/1826mk7-reflow-oven.jpg,2025-08-04 18:44:43+00,297.82,309.88,1497,36.02,42,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",26
126,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_CONVOYEUR_TRANSPORT_PCB_002,"Bâtiment A, Hall CMS1, Ligne 2, Poste 25",EN MAINTENANCE,Convoyeur PCB,2025-12-08 06:41:55+00,2026-05-03 08:47:07+00,https://www.panasonic-id.com/products/smt/npm-dx/images/npm-dx-main.jpg,2025-12-01 11:35:48+00,296.62,306.9,1401,38.4,45,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",27
127,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_DISTRIBUTEUR_DE_PATE_PASTE_DISPENSER_002,"Bâtiment A, Hall CMS1, Ligne 2, Poste 48",OPERATIONNELLE,Distributeur de Pâte,2026-03-03 04:55:41+00,2026-08-13 20:36:59+00,https://www.national-instruments.com/images/products/pxi-vst.png,2024-10-14 02:54:40+00,295.59,308.25,1573,42.27,44,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",28
128,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_DEPANELISATION_002,"Bâtiment A, Hall CMS1, Ligne 2, Poste 23",EN MAINTENANCE,Dépanélisation,2025-10-25 03:09:51+00,2026-06-17 18:59:12+00,https://www.keyence.com/img/products/model/lm/lm-2000_im.jpg,2024-12-10 14:16:43+00,297.75,307.04,1493,38.84,15,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",29
129,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_STATION_DE_RETOUCHE_REWORK_002,"Bâtiment A, Hall CMS1, Ligne 1, Poste 28",OPERATIONNELLE,Station de Retouche,2025-10-17 07:14:04+00,2026-06-17 21:58:35+00,https://www.nordsonasymtek.com/images/products/Spectrum-S-920N.png,2024-02-03 01:05:14+00,295.51,305.85,1517,40.64,45,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",30
130,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_NETTOYEUR_ULTRASONIQUE_002,"Bâtiment A, Hall CMS1, Ligne 1, Poste 45",EN MAINTENANCE,Nettoyeur Ultrasonique,2025-10-09 18:52:16+00,2026-05-04 22:56:23+00,https://www.national-instruments.com/images/products/pxi-vst.png,2025-10-24 01:38:27+00,296.5,309.72,1523,38.99,12,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",31
131,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_COLLAGE_ADHESIVE_DISPENSER_002,"Bâtiment A, Hall CMS1, Ligne 1, Poste 26",OPERATIONNELLE,Collage / Adhesive Dispenser,2025-12-25 18:45:42+00,2026-07-20 01:28:18+00,https://www.vitrox.com/images/products/v810i-aoi-machine.jpg,2025-12-12 19:32:18+00,299.89,308.58,1519,37.46,35,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",32
132,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_SYSTEME_DE_MARQUAGE_LASER_002,"Bâtiment A, Hall CMS1, Ligne 2, Poste 43",OPERATIONNELLE,Marquage Laser,2025-10-29 16:06:20+00,2026-05-24 15:08:29+00,https://www.mycronic.com/globalassets/products/my700-jet-printer.jpg,2025-01-22 06:54:26+00,299.12,308.4,1456,42.28,7,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",33
133,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_FOUR_DE_SECHAGE_DRYING_OVEN_002,"Bâtiment A, Hall CMS1, Ligne 3, Poste 15",EN MAINTENANCE,Four de Séchage,2025-12-17 06:45:37+00,2026-05-24 22:07:50+00,https://www.ipg-photonics.com/images/products/ylr-series-laser.jpg,2025-10-04 12:40:05+00,296.23,309.15,1571,38.03,49,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",34
134,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_DECOUPE_ROUTER_002,"Bâtiment A, Hall CMS1, Ligne 2, Poste 05",ARRÊTÉE,Découpe Router,2026-02-19 05:45:39+00,2026-05-17 01:25:56+00,https://www.yamaha-motor-im.com/wp-content/uploads/YSM20R.jpg,2025-03-02 07:21:44+00,297.98,309.94,1418,42.21,45,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",35
135,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_CHARGEUR_DE_COMPOSANTS_FEEDER_002,"Bâtiment B, Hall CMS1, Ligne 2, Poste 05",ARRÊTÉE,Chargeur de Composants,2026-03-06 21:21:12+00,2026-06-16 07:33:56+00,https://www.yamaha-motor-im.com/wp-content/uploads/YSM20R.jpg,2025-08-19 05:45:39+00,296.87,306.62,1421,44.98,47,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",36
136,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_STATION_DE_VERIFICATION_VISUELLE_002,"Bâtiment B, Hall CMS1, Ligne 2, Poste 44",OPERATIONNELLE,Vérification Visuelle,2025-11-09 11:42:16+00,2026-08-04 00:54:38+00,https://www.fujielectric.com/products/smt/nxt-iii/images/main.jpg,2024-05-04 12:52:26+00,297.04,305.32,1453,41.27,34,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",37
137,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_PLACEMENT_BGA_002,"Bâtiment B, Hall CMS1, Ligne 2, Poste 02",EN MAINTENANCE,Placement BGA,2026-02-05 04:47:38+00,2026-09-08 12:44:01+00,https://www.nordsonasymtek.com/images/products/Spectrum-S-920N.png,2025-04-01 09:52:38+00,299.29,308.19,1493,44.32,44,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",38
138,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_SYSTEME_DE_STOCKAGE_COMPOSANTS_002,"Bâtiment B, Hall CMS1, Ligne 1, Poste 30",EN PANNE,Stockage Composants,2025-12-23 11:32:43+00,2026-05-05 12:26:52+00,https://www.national-instruments.com/images/products/pxi-vst.png,2024-06-26 13:58:55+00,296.49,309.16,1511,41.48,41,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",39
139,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_IMPRIMANTE_JET_ENCRE_PCB_002,"Bâtiment B, Hall CMS1, Ligne 1, Poste 42",EN PANNE,Imprimante Jet d'Encre PCB,2026-02-21 01:51:48+00,2026-09-23 17:11:47+00,https://www.keysight.com/content/dam/keysight/images/products/34461A.png,2024-02-10 10:25:22+00,296.55,305.43,1419,42.3,48,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",40
140,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_D_PILEUR_CARD_LOADER_003,"Bâtiment A, Hall CMS1, Ligne 2, Poste 05",OPERATIONNELLE,Dépileur / Card Loader,2025-11-15 15:19:05+00,2026-08-17 20:51:32+00,https://www.vitrox.com/images/products/v810i-aoi-machine.jpg,2024-04-22 14:42:19+00,299.09,307.18,1570,42.71,11,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",41
141,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_S_RIGRAPHIE_DEK_MPM_003,"Bâtiment B, Hall CMS1, Ligne 2, Poste 02",OPERATIONNELLE,Sérigraphie DEK MPM,2025-11-15 06:04:09+00,2026-08-17 10:59:47+00,https://www.omron.com/global/en/technology/images/vt-s730.jpg,2024-09-01 04:14:11+00,298.39,307.81,1432,44.97,31,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",42
142,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_POSE_PICK_PLACE_003,"Bâtiment A, Hall CMS1, Ligne 3, Poste 02",OPERATIONNELLE,Pick & Place,2025-10-24 05:02:49+00,2026-09-24 22:04:56+00,https://www.vitrox.com/images/products/v810i-aoi-machine.jpg,2024-03-01 16:07:25+00,299.2,308.87,1440,43.95,50,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",43
143,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_FOUR_DE_REFUSION_REFLOW_OVEN_003,"Bâtiment B, Hall CMS1, Ligne 1, Poste 20",OPERATIONNELLE,Four de Refusion (Reflow Oven),2025-10-06 05:00:04+00,2026-07-04 12:13:08+00,https://www.tektronix.com/content/dam/tek/images/products/oscilloscopes/mso4-series.png,2025-06-14 07:26:10+00,296.27,308.47,1485,44.28,27,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",44
144,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_INSPECTION_AOI_AUTOMATIQUE_003,"Bâtiment A, Hall CMS1, Ligne 1, Poste 28",EN MAINTENANCE,Inspection AOI,2025-10-13 08:46:31+00,2026-09-10 06:52:32+00,https://www.yamaha-motor-im.com/wp-content/uploads/YSM20R.jpg,2024-12-08 22:45:12+00,296.09,307.71,1455,40.17,8,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",45
145,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_BRASAGE_WAVE_SOLDERING_003,"Bâtiment A, Hall CMS1, Ligne 1, Poste 03",EN PANNE,Brasage (Wave Soldering),2025-10-03 13:58:33+00,2026-07-25 09:22:16+00,https://www.rohde-schwarz.com/images/products/test-measurement/fsw-signal-spectrum.jpg,2024-04-15 14:08:29+00,295.62,305.74,1407,39.89,5,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",46
146,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_CONVOYEUR_TRANSPORT_PCB_003,"Bâtiment A, Hall CMS1, Ligne 3, Poste 41",EN PANNE,Convoyeur PCB,2026-02-28 15:20:36+00,2026-06-10 02:18:36+00,https://www.asys-group.com/images/products/divisio-depaneling.jpg,2024-02-09 10:04:53+00,295.98,305.26,1473,41.78,10,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",47
147,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_DISTRIBUTEUR_DE_PATE_PASTE_DISPENSER_003,"Bâtiment A, Hall CMS1, Ligne 3, Poste 31",EN MAINTENANCE,Distributeur de Pâte,2025-12-05 23:18:45+00,2026-05-02 04:07:02+00,https://www.omron.com/global/en/technology/images/vt-s730.jpg,2024-07-13 01:19:34+00,298.15,305.54,1517,36,1,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",48
148,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_DEPANELISATION_003,"Bâtiment B, Hall CMS1, Ligne 2, Poste 09",EN MAINTENANCE,Dépanélisation,2026-02-17 02:43:47+00,2026-06-18 02:03:00+00,https://www.omron.com/global/en/technology/images/vt-s730.jpg,2025-10-07 00:15:57+00,297.84,307.73,1445,36.14,46,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",49
149,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_STATION_DE_RETOUCHE_REWORK_003,"Bâtiment A, Hall CMS1, Ligne 1, Poste 36",OPERATIONNELLE,Station de Retouche,2026-01-23 04:44:54+00,2026-07-11 17:09:15+00,https://www.fluke.com/content/dam/fluke/products/8845a-8846a-multimeter.png,2025-11-20 05:39:39+00,296.35,307.9,1487,35.63,24,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",50
