nom;type;emplacement;zone;sous_zone;ordre;date_derniere_maintenance;date_prochaine_maintenance;statut
ZONE_CMS1_CMS_LINE_2_MACHINE_DE_SERIGRAPHIE;Machine de Serigraphie;ZONE CMS1;Zone CMS1 - COMPONENT SURFACE MOUNTING;CMS LINE 2 (e.g., AVS - Audio Video Products);2;2026-03-09T08:00:00;2026-04-09T08:00:00;OPERATIONNELLE
ZONE_CMS1_CMS_LINE_2_MACHINE_DE_POSE;Machine de Pose;ZONE CMS1;Zone CMS1 - COMPONENT SURFACE MOUNTING;CMS LINE 2 (e.g., AVS - Audio Video Products);3;2026-03-04T08:00:00;2026-04-04T08:00:00;OPERATIONNELLE
ZONE_CMS1_CMS_LINE_2_MACHINE_SPI;Machine SPI;ZONE CMS1;Zone CMS1 - COMPONENT SURFACE MOUNTING;CMS LINE 2 (e.g., AVS - Audio Video Products);4;2026-03-19T08:00:00;2026-04-19T08:00:00;OPERATIONNELLE
ZONE_CMS1_CMS_LINE_2_FOUR_DE_REFUSIONS;Four de Refusions;ZONE CMS1;Zone CMS1 - COMPONENT SURFACE MOUNTING;CMS LINE 2 (e.g., AVS - Audio Video Products);7;2026-03-07T08:00:00;2026-04-07T08:00:00;OPERATIONNELLE
ZONE_CMS2_TEST_IN_SITU_INTERFACE_DE_TEST;Interface de Test;ZONE CMS2;Zone CMS2 - TEST ZONE (Resume des Machines Essentielles);TEST IN-SITU (Test des Composants);1;2026-03-16T08:00:00;2026-04-16T08:00:00;OPERATIONNELLE
ZONE_CMS2_TEST_IN_SITU_TESTEUR_MARCONI_4220;Testeur Marconi 4220;ZONE CMS2;Zone CMS2 - TEST ZONE (Resume des Machines Essentielles);TEST IN-SITU (Test des Composants);2;2026-03-11T08:00:00;2026-04-11T08:00:00;OPERATIONNELLE
ZONE_CMS2_TEST_FONCTIONNEL_BANC_TF;Banc TF;ZONE CMS2;Zone CMS2 - TEST ZONE (Resume des Machines Essentielles);TEST FONCTIONNEL (Test de Fonctionnement);1;2026-03-13T08:00:00;2026-04-13T08:00:00;OPERATIONNELLE
ZONE_CMS2_TEST_FONCTIONNEL_BFE;BFE;ZONE CMS2;Zone CMS2 - TEST ZONE (Resume des Machines Essentielles);TEST FONCTIONNEL (Test de Fonctionnement);2;2026-03-17T08:00:00;2026-04-17T08:00:00;OPERATIONNELLE
ZONE_CMS2_TEST_FONCTIONNEL_BAV;BAV;ZONE CMS2;Zone CMS2 - TEST ZONE (Resume des Machines Essentielles);TEST FONCTIONNEL (Test de Fonctionnement);3;2026-03-21T08:00:00;2026-04-21T08:00:00;OPERATIONNELLE
ZONE_CMS2_TEST_FONCTIONNEL_ROUTEUR;Routeur;ZONE CMS2;Zone CMS2 - TEST ZONE (Resume des Machines Essentielles);TEST FONCTIONNEL (Test de Fonctionnement);4;2026-03-23T08:00:00;2026-04-23T08:00:00;OPERATIONNELLE
ZONE_CMS2_TEST_WIFI_PC_AVEC_LOGICIEL_DE_TEST;PC avec Logiciels de Test;ZONE CMS2;Zone CMS2 - TEST ZONE (Resume des Machines Essentielles);TEST WiFi (Test Sans Fil);1;2026-03-24T08:00:00;2026-04-24T08:00:00;OPERATIONNELLE
ZONE_CMS2_TEST_WIFI_CAQUON_FARADAY;Caisson Faraday;ZONE CMS2;Zone CMS2 - TEST ZONE (Resume des Machines Essentielles);TEST WiFi (Test Sans Fil);2;2026-03-26T08:00:00;2026-04-26T08:00:00;OPERATIONNELLE
ZONE_CMS2_TEST_WIFI_IQFLEX_ANALYZER;IQflex Analyzer;ZONE CMS2;Zone CMS2 - TEST ZONE (Resume des Machines Essentielles);TEST WiFi (Test Sans Fil);3;2026-03-27T08:00:00;2026-04-27T08:00:00;OPERATIONNELLE
ZONE_CMS2_TEST_WIFI_ATTENUATEURS;Attenuateurs;ZONE CMS2;Zone CMS2 - TEST ZONE (Resume des Machines Essentielles);TEST WiFi (Test Sans Fil);6;2026-03-28T08:00:00;2026-04-28T08:00:00;OPERATIONNELLE
